Nom_artiste
"Aamot, Rolf"
"Massironi, Manfredo"
"Masurovsky, Gregory"
"Matchitt, Paratene"
"Matta-clark, Gordon"
"Mattas, Kajsa"
"Emery, Matteo"
"Mattiacci, Eliseo"
"Matton, Charles"
"Matwijkiw, Edward"
"Maurer, Dora"
"Max, John"
"Mayr, Albert"
"Mazars, Alain"
"Meale, Richard"
"Medveczky, Diourka"
"Méfano, Paul"
"Megert, Christian"
"Meireles, Cildo"
"Melchert, Jim"
"Mellnäs, Arne"
"Melocco, Miklós"
"Herrera, Melquiades"
"Mercero, Antonio"
"Mergl, Václav"
"Merkado, Nissim"
"Merz, Mario"
"Messac, Ivan"
"Messager, Annette"
"Mészáros, Márta"
"Métail, Michèle"
"Metianu, Lucian"
"Meurice, Jean-michel"
"Meyer, Krzysztof"
"Mianowski, Lucjan"
"Michaux, Henri"
"Miereanu, Costin"
"Mihuleac, Wanda"
"Miki, Tomio"
"Horvat, Miljenko"
"Miljuš, Branko"
"Milow, Keith"
"Milshtein, Zwi"
"Minnebo, Hubert"
"Minnich, Bernd"
"Minond, Edgardo"
"Miotte, Jean"
"Miralda, Antoni"
"Miralles, Josefina"
"Miroglio, Francis"
"Aiko, Miyawaki"
"Yasuo, Mizui"
"Mlčoch, Jan"
"Mlynárčik, Alex"
"Möbus, Christiane"
"Mohammadi, Asghar"
"Mohassess, Bahman"
"Moineau, Jean-claude"
"Molin, Lei"
"Molinari, Guido"
"Monclaire, Stéphane"
"Moneo, Rafael"
"Moninot, Bernard"
"Monnet, Marc"
"Montealegre, Samuel"
"Montes, Fernando"
"Monteyne, Roland"
"Monzon, Ramon"
"Moog, Pitt"
"Moon, Jeremy"
"Mora, Gabriel"
"Moraes, Avatar"
"Morder, Joseph"
"Moré, Humberto"
"Pincas, Moreno"
"Mori, Shōichirō"
"Morozzi, Massimo"
"Morrow, Ross"
"Morvan, Jean-jacques"
"Moskovtchenko, Michel"
"Mosner, Ricardo"
"Mosset, Olivier"
"Moucha, Miloslav"
"Mougin, Pierre"
"Moura, Leonel"
"Mouraud, Tania"
"Mouris, Frank"
"Mroszczak, Marcin"
"Mucha, Reinhard"
"Mukherjee, Mrinalini"
"Müller, Grégoire"
"Muntadas, Antoni"
"Murail, Tristan"
"Mušič, Marko"
"N'diaye, Iba"
"Nadaud, Daniel"
"Nagasawa, Hidetoshi"
"Nahlé, Wajih"
"Nakahira, Takuma"
"Nakai, Tsuneo"
"Nannucci, Massimo"
"Nantes, Hugo"
"Nantet, Bernard"
"Narayan, Badri"
"Näsänen, Perttu"
"Natalini, Adolfo"
"Navarro, Miquel"
"Nedjar, Michel"
"Neiman, Yehuda"
"Nele, Renee"
"Nellens, Roger"
"Nemescu, Octavian"
"Nepraš, Karel"
"Nessim, Suzanne"
"Nestler, Wolfgang"
"Nieuhof, Jan"
"Neumann, Hartmut"
"Neumann, Věroslav"
"Nevjestić, Virgilije"
"Dim, Nhek"
"Niang, Modou"
"Nicodim, Ion"
"Nielsen, Gert"
"Nierhoff, Ansgar"
"Nierman, Leonardo"
"Nieto, Rodolfo"
"Nikolov, Gueorgui"
"Nitsch, Hermann"
"Nobre, Marlos"
"Rice, Boyd"
"Nordheim, Arne"
"Nørgaard, Bjørn"
"Ahmed, Novera"
"Noyes, Eliot"
"Nozati, Annick"
"Nunez, Alejandro"
"Nuñez, Alfredo"
"Núñez, Guillermo"
"Nupen, Kjell"
"Nussbaum, Erich"
"Nyborg, Peter"
"O'connell, Eilis"
"O'gallagher, Liam"
"Odenbach, Marcel"
"Ogier, Abel"
"Oiticica, Hélio"
"Okazaki, Kenjiro"
"Olea, Pedro"
"Olesen, Muriel"
"Oliveira, Nathan"
"Olivier, Pierre"
"Onley, Toni"
"Onur, Füsun"
"Opazo, Rodolfo"
"Opie, Julian"
"Oppenheim, Dennis"
"Oppermann, Wolfgang"
"D'orgeix, Christian"
"János, Orosz"
"Orr, Jill"
"Ortwed, Kirsten"
"Orús, José"
"Otéro, Manuel"
"Otterness, Tom"
"Oudot, Georges"
"Oursler, Tony"
"Paakkunainen, Seppo"
"Heininen, Paavo"
"Paccagnini, Angelo"
"Pacheco, Joaquim"
"Padamsee, Akbar"
"Pagès, Bernard"
"Pągowska, Teresa"
"Pai, Laxman"
"Paiva, Cláudio"
"Paladino, Mimmo"
"Palermo, Blinky"
"Palsson, Magnus"
"Pane, Gina"
"Panhuysen, Paul"
"Pankiewicz, Krzysztof"
"Pansard-besson, Robert"
"Paolini, Giulio"
"Papavassiliou, Petros"
"Pape, Rotraut"
"Parat, Pierre"
"Paredes, Silvio"
"Parenti, Giovanni"
"Hyun-ki, Park"
"Seo-bo, Park"
"Parks, Ti"
"Parmiggiani, Claudio"
"Parr, Mike"
"Parra, Carmen"
"Parré, Michel"
"Partenheimer, Jürgen"
"Partridge, Stephen"
"Partz, Felix"
"Pascali, Pino"
"Paštéka, Milan"
"Patris, Gérard"
"Pauer, Gyula"
"Pavel, Paul"
"Pavlík, Ondrej"
"Samios, Pavlos"
"Pavlović, Zoran"
"Paysant, Michel"
"Jaramillo, Maripaz"
"Peacock, Jan"
"Peeter, Zoltin"
"Peichl, Gustav"
"Pélissier, Alain"
"Peña, Umberto"
"Pencreac'h, Georges"
"Penderecki, Krzysztof"
"Wan-ts, Peng"
"Penteado, Darcy"
"Pepermans, Albert"
"Perákis, Níkos"
"Celis, Pérez"
"Andraščík, František"
"Pernot, Hervé"
"Perraudin, Gilles"
"Pesce, Gaetano"
"Peschard, Jean"
"Pesci, Rubén"
"Peterson, Steven"
"Petlevski, Ordan"
"Petlin, Irving"
"Petrić, Ivo"
"Petrick, Wolfgang"
"Petrov, Vitaly"
"Petrovic, Alexandre"
"Petterson, Berndt"
"Pettersson, Sonja"
"Pezold, Friederike"
"Pfeiffer, Andreas"
"Pfeiffer, Robert"
"Piano, Renzo"
"Pichardo, Eligio"
"Picher, Claude"
"Piene, Otto"
"Pierściński, Paweł"
"Pietroń, Wiesław"
"Pietsch, Andrzej"
"Pimentel, Wanda"
"Pincemin, Jean-pierre"
"Pindell, Howardena"
"Pinoncelli, Pierre"
"Piper, Adrian"
"Piskorska, Katarzyna"
"Pistoletto, Michelangelo"
"Pița, Dan"
"Piza, Arthur-luiz"
"Plaat, Henri"
"Platiel, Roger"
"Plattner, Patricia"
"Plessi, Fabrizio"
"Plisson, André"
"Plompen, Willy"
"Podrecca, Boris"
"Poeti, Paolo"
"Polesello, Rogelio"
"Poli, Jacques"
"Polke, Sigmar"
"Pollet, Jean-daniel"
"Pololáník, Zdeněk"
"Połom, Janusz"
"Polonio, Eduardo"
"Pombo, Sérgio"
"Pommereulle, Daniel"
"Pomodoro, Arnaldo"
"Pomodoro, Gio'"
"Pongratz, Peter"
"Ponsatí, Josep"
"Pope, Conrad"
"Popkov, Victor"
"Porter, Liliana"
"Portoghesi, Paolo"
"Pöschl, Herwig"
"Postma, Hannes"
"Pourtalé, Jean"
"Pousseur, Henri"
"Preclík, Mojmír"
"Preclík, Vladimír"
"Prem, Heimrad"
"Prendergast, Kathy"
"Prent, Mark"
"Presta, Salvador"
"Prévost, Jean-pierre"
"Prini, Emilio"
"Prosi, Henri"
"Pujía, Antonio"
"Pullinen, Laila"
"Purini, Franco"
"Pyk, Sture"
"Pyne, Ganesh"
"Pyykkö, Kimmo"
"Quartucci, Carlo"
"Quetglas, Matias"
"Quintanilla, Isabel"
"Raoul, Raba"
"Raban, William"
"Rabascall, Joan"
"Rabe, Folke"
"Rabinowitch, David"
"Rabinowitch, Royden"
"Rabinowitz, Yehiel"
"Radanowicz, Georg"
"Radauer, Irmfried"
"Radax, Ferry"
"Radić, Dušan"
"Raditschnig, Werner"
"Radović, Zoran"
"Radulescu, Horatiu"
"Raeck, Karina"
"Raetz, Markus"
"Rahmberg, Ulf"
"Rainer, Arnulf"
"Rajlich, Tomas"
"Rambow, Gunter"
"Ramírez, Gabriel"
"Ramminger, Manfred"
"Ramon, Ilan"
"Ramous, Carlo"
"Ramp, René"
"Ramsbott, Wolfgang"
"Ramsden, Mel"
"Ran, Shulamit"
"Rancillac, Bernard"
"Raum, Walter"
"Rauschenberg, Robert"
"Rautavaara, Einojuhani"
"Ravelo, Juvenal"
"Ravnikar, Vojteh"
"Rayess, Aref"
"Raynaud, Jean-pierre"
"Raysse, Martial"
"Reale, Paul"
"Rebeyrolle, Paul"
"Recalcati, Antonio"
"Recinos, Efraín"
"Reddy, Krishna"
"Reekie, David"
"Regamey, Constantin"
"Rego, Paula"
"Reibel, Guy"
"Reichert, Josua"
"Reid, Leslie"
"Reinhart, Fabio"
"Reiser, Jean-marc"
"Reljić, Radomir"
"Renateau, Gerard"
"Renaud, Jean-marie"
"Rendall, Kimble"
"Renouf, Edda"
"Rentzís, Thanássis"
"Rényi, Tamás"
"Resende, José"
"Reynal, Jean-claude"
"Reynolds, Roger"
"Rezvani, Serge"
"Ribowski, Nicolas"
"Ricci, Roberto"
"Richard, Camille"
"Richardson, Christopher"
"Richter-forgách, Thomas"
"Rigal, J.J.J."
"Righetti, Édouard"
"Rihm, Wolfgang"
"Riley, Bridget"
"Ringel, Franz"
"Rinke, Klaus"
"Rio, Marie-noël"
"Ristelhueber, Sophie"
"Riva, Umberto"
"Robiolles, Jacques"
"Roda, Fernand"
"Roeder, Klaus"
"Roditi, David"
"Elmar, Rojas"
"Rokkaku, Kijo"
"Roland, Anthony"
"Roman, Ruth"
"Romberg, Osvaldo"
"Romero, Isidro"
"Ronovský, František"
"Roque, Carlos"
"Roquin, Louis"
"Rose, Knut"
"Rosei, Franz"
"Rosenbach, Ulrike"
"Rosenfeld, Lotty"
"Rosenquist, James"
"Roshuk, Alex"
"Rostain, Michel"
"Roth, Dieter"
"Rotar, France"
"Rothenberg, Susan"
"Rotterdam, Paul"
"Rouan, François"
"Rouland, Jacques"
"Roulin, Félix"
"Rous, Martin"
"Rousse, Georges"
"Rubenstein, Meridel"
"Rückriem, Ulrich"
"Ruders, Poul"
"Rudziński, Zbigniew"
"Ruijssenaars, Hans"
"Rumney, Ralph"
"Ruscha, Edward"
"Rutault, Claude"
"Ruždjak, Marko"
"Ryszka, Adolf"
"Rzepka, Allan"
"Sadai, Yizhak"
"Safa, Behçet"
"Saguil, Nena"
"Sahli, Abderrazak"
"Sakamoto, Kazunari"
"Burman, Sakti"
"Šalamun, Andraž"
"Sallinen, Aulis"
"Salmenhaara, Erkki"
"Salvadori, Remo"
"Samico, Gilvan"
"Sammallahti, Pentti"
"Samore, Sam"
"Samuel, Eva"
"Samuelson, Ulrik"
"Samurović, Svetozar"
"Sanchez, Fabian"
"Sandle, Michael"
"Sanejouand, Jean-michel"
"Sangla, Raoul"
"Sarfati, Alain"
"Sarmento, Julião"
"Sarthou, Jean-louis"
"Sáry, László"
"Sauer, Michel"
"Saulnier, Emmanuel"
"Saury, Alain"
"Savary, Jérôme"
"Saxe, Henry"
"Saytour, Patrick"
"Scha, Remko"
"Schabenbeck, Stefan"
"Schamoni, Peter"
"Schat, Peter"
"Scheggi, Paolo"
"Schidlowsky, Leon"
"Schifano, Mario"
"Schmid, Volker"
"Schmidt-heins, Barbara"
"Schmidt-heins, Gabriele"
"Schnabel, Julian"
"Schneegans, Nicole"
"Schneider, Jean-claude"
"Schnyder, Jean-frédéric"
"Schoendorff, Max"
"Schoenholtz, Michael"
"Scholz, Stefan"
"Schön, Adolf"
"Schönbach, Dieter"
"Schoofs, Rudolf"
"Schoonhoven, Terry"
"Schrader, Barry"
"Schreib, Werner"
"Schultes, Axel"
"Schulz, Thomas"
"Schuring, Henk"
"Schütte, Thomas"
"Schwalbe, Ole"
"Schwarz, Jean"
"Schweizer, Helmut"
"Sciarrino, Salvatore"
"Scott, Johan"
"Sculthorpe, Peter"
"Seck, Amadou"
"Segalove, Ilene"
"Segesdi, György"
"Seguí, Antonio"
"Sehili, Mahmoud"
"Seifert, Jiří"
"Sekine, Nobuo"
"Selinger, Shelomo"
"Selz, Dorothée"
"Sempé, Jean-jacques"
"Sempoliński, Jacek"
"Senda, Mitsuru"
"Sentier, Jean-pierre"
"Sepehri, Sohrab"
"Seraphim, Juliana"
"Serra, Richard"
"Serrano, Marcela"
"Serre, Claude"
"Servais, Raoul"
"Shu, Shang"
"Sheehan, Kevin"
"Shemza, Anwar"
"Sheriff, Noam"
"Sherwin, Guy"
"Shibata, Masako"
"Shields, Alan"
"Shimada, Masayuki"
"Shimizu, Seiichi"
"Shinohara, Ushio"
"Shiro-tanaka, Flavio"
"Sibley, Andrew"
"Sienicki, Jacek"
"Sierhuis, Jan"
"Sieverding, Katharina"
"Sigurbjörnsson, Thorkell"
"Sigurðsson, Steinþór"
"Siikamäki, Arvo"
"Sikorski, Tomasz"
"Silva, Umberto"
"Lora, Silvano"
"Silvetti, Jorge"
"Simmons, Caroline"
"Simons, Alain"
"Simon, Luc"
"Simond, Anne-marie"
"Singer, Gérard"
"Sinopoli, Giuseppe"
"Sion, Zbyšek"
"Sitsky, Larry"
"Sitter, Inger"
"Siza, Alvaro"
"Sjölander, Ture"
"Skira, Pierre"
"Boghossian, Alexander"
"Slak, Jože"
"Sleeuwenhoek, Ben"
"Słonina, Stanisław"
"Smalley, Roger"
"Smekal, Giselher"
"Smith, Joseph"
"Soeters, Sjoerd"
"Soffiantino, Giacomo"
"Sollberger, Harvey"
"Solyom, Robert"
"Sondheim, Alan"
"Sonfist, Alan"
"Sonnabend, Yolanda"
"Sonneman, Eve"
"Sonnier, Keith"
"Sorge, Peter"
"Souply, Émile"
"Souster, Tim"
"Souter, Camille"
"Spacagna, Jacques"
"Spătaru, Mircea"
"Spatola, Adriano"
"Spoerri, Daniel"
"Spoor, Will"
"Sporring, Ole"
"Spronken, Arthur"
"Šrámek, Category:václav"
"Srebotnjak, Alojz"
"Staeck, Klaus"
"Stämpfli, Peter"
"Stangl, Heinz"
"Stanić, Vojo"
"Stanton, Alan"
"Starowieyska, Ewa"
"Starowieyski, Franciszek"
"Stas, André"
"Stassart-springer, Claude"
"Steidle, Otto"
"Steiger, Paul"
"Stella, Frank"
"Stempfel, André"
"Sten-knudsen, Nina"
"Stendl, Ion"
"Stern, Anthony"
"Stevens, Bruno"
"Stezaker, John"
"Stilinović, Mladen"
"Stockhausen, Karlheinz"
"Stöhrer, Walter"
"Štorek, František"
"Storel, Sergio"
"Störtenbecker, Nikolaus"
"Stošić, Josip"
"Strack, Walter"
"Straesser, Joep"
"Ström, Lars-erik"
"Struycken, Peter"
"Stupica, Gabrijel"
"Sudano, Rino"
"Suga, Kishio"
"Sulmon, Pierre"
"Sultan, Larry"
"Summers, Carol"
"Šuštaršič, Marko"
"Šutej, Miroslav"
"Suzuki, Ryōji"
"Svae, Tor"
"Švankmajer, Jan"
"Svedberg, Lena"
"Swiczinsky, Helmut"
"Świtka, Jan"
"Szancenbach, Jan"
"Szapocznikow, Alina"
"Szczechura, Daniel"
"Szczupak-thomas, Yvette"
"Szewczyk, Andrzej"
"Tábara, Enrique"
"Tabusso, Francesco"
"Ismail, Taha"
"Takagi, Shirō"
"Takamatsu, Jirō"
"Takamatsu, Shin"
"Takanashi, Yutaka"
"Takubo, Kyōji"
"Tamayo, Arturo"
"Tanavoli, Parviz"
"Tàpies, Antoni"
"Tapper, Kain"
"Tapper, Yrjö"
"Tarasin, Jan"
"Tartyłło, Janusz"
"Taylor, Gage"
"Kim, Tchah-sup"
"Lin, Tang"
"Tchorzewski, Jerzy"
"Templeton, Fiona"
"Terzic, Mario"
"Tessier, Roger"
"Tevet, Nahum"
"Teyssier, Fernand"
"Theimer, Ivan"
"Thenot, Jean-paul"
"Theobalds, Peter"
"Thermes, Laura"
"Theys, Yvan"
"Thill, Philippe"
"Thiolat, Dominique"
"Thomadáki, Katerína"
"Thorborg, Helle"
"Tilson, Joe"
"Tinguely, Jean"
"Tirronen, Esko"
"Tišma, Slobodan"
"Tisné, Antoine"
"Tissing, Martin"
"Titus-carmel, Gérard"
"Todosijevic, Rasa"
"Tomanová, Emílie"
"Tomczak, Kim"
"Tominaga, Yuzuru"
"Tōno, Yoshiaki"
"Topor, Roland"
"Toppi, Bernardino"
"Toral, Mario"
"Torikai, Ushio"
"Törning, Erik"
"Toroni, Niele"
"Torp, Fredrik"
"Torres, Caciporé"
"Torricini, Claude"
"Tot, Endre"
"Totsikas, Thanassis"
"Tournier, Jacques"
"Toussaint, Philippe"
"Trabuc, Louis"
"Trachsel, Peter"
"Trbuljak, Goran"
"Trébouta, Jacques"
"Trubbiani, Valeriano"
"Truszyński, Olgierd"
"Tschumi, Bernard"
"Tsoclis, Costas"
"Tsuchiya, Tilsa"
"Tual, Pierre"
"Tuomas-kettunen, Veli"
"Turel, Bor"
"Túry, Mária"
"Tusques, François"
"Tusquets, Óscar"
"Tüzün, Ferit"
"Tyszblat, Michel"
"Uecker, Günther"
"Uemura, Tsugutoshi"
"Ullman, Gad"
"Ullman, Micha"
"Ullrich, Dietmar"
"Urbanner, Erich"
"Úrculo, Eduardo"
"Uri, Aviva"
"Urquhart, Tony"
"Urteil, Andreas"
"Usami, Keiji"
"Utermöhlen, Nikolaus"
"Vacchini, Livio"
"Vaghela, Gautam"
"Váhl, Joost"
"Vaiana, Pierre"
"Valera, Roberto"
"Valladares, Edmund"
"Valle, Gino"
"Valnere, Rita"
"Vanderheyden, Jcj"
"Vanriet, Jan"
"Vanarsky, Jack"
"Vandercam, Serge"
"Vandor, Ivan"
"Vaništa, Josip"
"Vansier, Boris"
"Vasconi, Claude"
"Vata, Emil"
"Vaubourgoin, Thierry"
"Vela, Vicente"
"Venet, Bernar"
"Verdijk, Gerard"
"Verdren, Marcel-henri"
"Verheyen, Jef"
"Verhoog, Aat"
"Vermeille, Patrice"
"Verstockt, Mark"
"Verweij, Hans"
"Veselý, Aleš"
"Vespignani, Renzo"
"Viallat, Claude"
"Viard, Martine"
"Victoria, Salvador"
"Vidal, Olivier"
"Vieira, Mary"
"Vielfaure, Jean-pierre"
"Vígh, Tamás"
"Vila, Ernesto"
"Vilain, Walter"
"Vilander, Ica"
"Vilches, Héctor"
"Villalba, Dario"
"Villeglé, Jacques"
"Vilmouth, Jean-luc"
"Viola, Bill"
"Violetta, Antonio"
"Viseux, Claude"
"Visser, Carel"
"Vivier, Claude"
"Vostell, Wolf"
"Voulkos, Peter"
"Vozarević, Lazar"
"Vožniak, Jaroslav"
"Vrkljan, Irena"
"Vulas, Šime"
"Wall, Brian"
"Walser, Andreas"
"Waltoś, Jacek"
"Wardi, Rafael"
"Wasko, Ryszard"
"Watanabe, Junzō"
"Webb, Boyd"
"Weeber, Carel"
"Wegenast, Róbert"
"Wegman, William"
"Weisbuch, Claude"
"Welin, Karl-erik"
"Wendel, Eugen"
"Werthmann, Friederich"
"Wessing, Koen"
"Westerik, Co"
"Westerlinck, Wilfried"
"Weyergans, François"
"Whiten, Colette"
"Więcek, Magdalena"
"Wierchowicz, Zofia"
"Willats, Stephen"
"Winner, Gerd"
"Winnewisser, Rolf"
"Winsor, Jacqueline"
"Winther, Richard"
"Winzentsen, Franz"
"Wise, Derwent"
"Wise, Stuart"
"Wishart, Trevor"
"Witkin, Isaac"
"Wittevrongel, Roger"
"Wodiczko, Krzysztof"
"Wolinski, Georges"
"Woodrow, Bill"
"Wörsel, Troels"
"Wortel, Ans"
"Woźniak, Bogusław"
"Wudl, Tom"
"Wunderlich, Paul"
"Würtz, Ádám"
"Wyborny, Klaus"
"Wykes, Robert"
"Wyttenbach, Jürg"
"Xavier, José"
"Xenakis, Constantin"
"Yacoubi, Ahmed"
"Yakovlev, Andrei"
"Yamada, Mitsurō"
"Yamamoto, Riken"
"Yasuda, Haruhiko"
"Yokoo, Tadanori"
"Yonemoto, Bruce"
"Youngerman, Jack"
"Yvel, Claude"
"Záborszky, Gábor"
"Zachwatowicz, Krystyna"
"Zarifian, Christian"
"Zarzycka, Ewa"
"Zaugg, Rémy"
"Zavarský, Ján"
"Zeljenka, Ilja"
"Zenderoudi, Hossein"
"Thierry, Zeno"
"Ziemski, Rajmund"
"Zigaina, Giuseppe"
"Žilnik, Želimir"
"Zingg, Gérard"
"Zippe, Stanislav"
"Zlotykamien, Gérard"
"Zontal, Jorge"
"Zorio, Gilberto"
"Zucchi, Cino"
"Zulueta, Ivan"
"Zurita, Raúl"
"Zykan, Otto"
